theta,bias,cost
0.0,0.0,0.4966419100505051
0.0033609009274328905,2.4666695,1.080505165807175
-0.0015964279405328396,-1.1716680125,2.3507726616127798
0.005715632139719902,4.194879818437501,5.11439838217485
-0.005069656478657723,-3.7207782321953147,11.127011590472708
0.0108386442334566,7.95481739248809,24.20820320177574
-0.01262609931692291,-9.266686153919933,52.66797070111688
0.02198439741990244,16.135031577031903,114.58575236687099
-0.02906608526693959,-21.33250207612206,249.2956261034273
0.04623337669618986,33.93211006228004,542.3737951515226
-0.06483332969948065,-47.583192841863045,1180.0019866867844
0.09899006223421082,72.65187894174798,2567.241820895688
-0.14264944086809733,-104.69485193907826,5585.355485196435
0.21376882620797705,156.89157611014048,12151.639026090748
-0.31194811772949366,-228.9484052624573,26437.409654748968
0.46348437457865227,340.16556726212445,57517.88937872345
-0.6802785515764138,-499.27754221163343,125137.35807819538
1.0067717645031313,738.9010442621594,272251.96466748416
-1.4816274517154138,-1087.4123707866856,592318.180628306
2.188761392208729,1606.3999164103616,1288662.241728069
-3.225062152581959,-2366.9732072052834,2803645.78965824
4.760327575988023,3493.752150127794,6099681.871123823
-7.018122273658455,-5150.817751938497,13270620.370862382
10.3550912545786,7599.922853609283,28871893.444356084
-15.270398699583541,-11207.419539573695,62814413.17487583
22.527198982823155,16533.4104903712,136660607.66358787
-33.22425759875141,-24384.313803797522,297322234.54809195
49.00914085910918,35969.32953010135,646861686.5386914
-72.28512186629241,-53052.2943873995,1407328456.7757397
106.62391565375837,78254.6008909143,3061818973.7727194
-157.26691468844092,-115423.06964459861,6661369904.814274
231.9720600664918,170251.49439528296,14492642899.161556
-342.15542769731036,-251118.4875635424,31530556207.488373
504.68261675469586,370402.235825725,68598666348.91686
-744.4034988126089,-546340.8311734445,149244973475.36234
1097.9985216499979,805855.1926503306,324701095417.33514
-1619.5444585335874,-1188633.9424897376,706427820717.3396
2388.831437239044,1753237.531841863,1536922027448.1624
-3523.5230090283776,-2586022.8927972475,3343765985966.9067
5197.1997992202605,3814386.2335454402,7274780873219.252
-7665.866342952572,-5626217.227810024,15827195137297.635
11307.156216761068,8298672.877689286,34434041420583.176
-16678.05205882927,-12240540.027922198,74915561365656.27
24600.130147685304,18054799.00785474,162988168196155.9
-36285.188606952106,-26630826.069916237,354601133431761.6
53520.65655618178,39280470.919795945,771479090922475.9
-78942.9650595042,-57938692.140029535,1678449197188212.5
116440.87682372442,85459573.37321307,3651676034632606.5
-171750.28995417582,-126052868.2588198,7944677672847566.0
253331.68104343058,185927983.1484288,1.7284639361989002e+16
-373664.22617833305,-274243772.677263,3.760489351192734e+16
551154.7369741966,404509567.1656326,8.181414644688698e+16
-812953.2336764325,-596651609.1026387,1.7799690236350858e+17
1199106.0230342243,880061125.8930616,3.8725451070460826e+17
-1768681.3806154323,-1298090158.2255964,8.425205948517134e+17
2608805.039769908,1914682985.8494244,1.8330088691742595e+18
-3847987.430301542,-2824157401.661232,3.9879399209972506e+18
5675781.463058334,4165632169.9169884,8.676261790619649e+18
-8371777.65465432,-6144307448.160887,1.887629205821686e+19
12348372.043981735,9062853488.503977,4.106773290915806e+19
-18213848.761520848,-13367708893.076696,8.9347986410487e+19
26865426.92661733,19717370619.75479,1.9438771293431566e+20
-39626504.71341692,-29083121661.671654,4.229147679527206e+20
58449094.4556786,42897604453.432365,9.201039420271383e+20
-86212414.31880756,-63273966566.34608,2.0018011388727934e+21
127163311.12366395,93329100687.82715,4.355168602760122e+21
-187565883.90413356,-137660423512.07837,9.47521369137999e+21
276659678.7620871,203049124682.7823,2.0614511787308596e+22
-408073026.1709063,-299497458904.63715,4.484944720726325e+22
601907713.6057374,441758751886.8066,9.757557858030217e+22
-887813877.5655189,-651594159030.573,2.122878681487699e+23
1309525469.4130807,961101384572.5618,4.618587931411673e+23
-1931550067.3819041,-1417624542242.0623,1.0048315368277524e+24
2849036349.3930717,2090996199809.5095,2.1861366123108816e+24
-4202328615.353541,-3084219394716.5596,4.756213467158861e+24
6198434707.652857,4549223607209.393,1.0347736924487498e+25
-9142691193.789246,-6710104820631.389,2.2512795146338126e+25
13485469510.849098,9897404610433.766,4.8979399940251885e+25
-19891067528.50846,-14598671800387.344,1.0656080699501062e+26
29339324604.5673,21533040905573.797,2.3183635571851985e+26
-43275503791.753654,-31761235335718.89,5.04388971410105e+26
63831368092.87272,46847822120187.84,1.0973612559241102e+27
-94151267937.03159,-69100537627274.64,2.3874465824198957e+27
138873120207.19852,101923293000232.58,5.194188470877287e+27
-204837852305.71988,-150336857175340.56,1.1300606291952393e+28
302135832151.0831,221746864333629.8,2.4585881563928925e+28
-445650352423.0552,-327076624892101.5,5.348965857752289e+28
657334269824.3323,482438021715852.4,1.1637343844272328e+29
-969568047991.3474,-711596082030879.6,2.5318496201194973e+29
1430112870787.8591,1049604220995550.1,5.508355329772484e+29
-2109416484413.055,-1548166225968434.0,1.1984115564336261e+30
3111389314510.702,2283545183303444.0,2.607294142465911e+30
-4589299238905.458,-3368229145372579.0,5.672494318702403e+30
6769216377388.817,4968137989424559.0,1.234122045212693e+31
-9984594156653.535,-7328003534401225.0,2.6849867746158662e+31
14727276381070.84,1.0808805213241812e+16,5.84152435152365e+31
-21722732662089.16,-1.5942987689531672e+16,1.270896641728364e+32
32041030676597.34,2.3515906842059216e+16,2.7649945061602725e+32
-47260520248003.36,-3.468596259203735e+16,6.015591172464943e+32
69709267365837.7,5.116179482325508e+16,1.308767054459403e+33
-102821169364659.7,-7.546364736430125e+16,2.8473863228582405e+33
151661224812940.3,1.1130887986234432e+17,6.194844868668457e+33
-223700306599190.5,-1.641805977969579e+17,1.3477659367396814e+34
329957952233960.75,2.4216638175051296e+17,2.9322332661192716e+34
-486687979545310.5,-3.571954130820066e+17,6.37943999960074e+34
717864769829680.0,5.268632342959599e+17,1.3879269149131364e+35
-1058850535499302.5,-7.771232705865408e+17,3.0196084942578922e+35
1561804539862237.0,1.1462568241151473e+18,6.569535730319821e+35
-2303661696297902.5,-1.6907288155698422e+18,1.4292846173277064e+36
3397901002040926.5,2.4938250029655183e+18,3.1095873455735936e+36
-5011903978012626.0,-3.6783918793741394e+18,6.765295968713549e+36
7392558367572386.0,5.425628022076856e+18,1.4718747041932424e+37
-1.0904023592174406e+16,-8.002801332563364e+18,3.2022474033104233e+37
1.6083434798464442e+16,1.1804131965530958e+19,6.966889506827234e+37
-2.372306632774592e+16,-1.7411094649158167e+19,1.5157338983291007e+38
3.499152283344149e+16,2.568136460750829e+19,3.297668562552248e+38
-5.161249617935104e+16,-3.788001279607473e+19,7.174490166402738e+38
7.61284318645783e+16,5.587301887421026e+19,1.5609000168279973e+39
-1.1228943700030685e+17,-8.24127028394601e+19,3.3959330991114085e+39
1.6562691957553302e+17,1.2155873668820366e+20,7.388276948754259e+39
-2.4429970637403114e+17,-1.792991366151004e+20,1.607412003663349e+40
3.603420669018528e+17,2.644662265072731e+20,3.4971257404700736e+40
-5.3150454868049984e+17,-3.9008768409822796e+20,7.608434189110208e+40
7.839692093041174e+17,5.753793340448861e+20,1.6553099632682891e+41
-1.1563545837241016e+18,-8.486845177162072e+20,3.6013337388355735e+41
1.70562301099392e+18,1.2518096636314056e+21,7.835151715554143e+41
-2.5157939412172856e+18,-1.8464192538563235e+21,1.704635195115249e+42
3.7107960632972815e+18,2.7234683994380776e+21,3.7086469463726135e+42
-5.473424193366012e+18,-4.0171158891711656e+21,8.068625012701923e+42
8.073300685218724e+18,5.925245936527468e+21,1.7554302293259614e+43
-1.1908118510703032e+19,-8.739737756378017e+21,3.8191578926772955e+43
1.756447480329534e+19,1.2891113190657578e+22,8.309055390256047e+43
-2.5907600334873395e+19,-1.9014391956219934e+22,1.8077388633425824e+44
3.821371049395616e+19,2.804622813542441e+22,3.932961864559708e+44
-5.636522297861207e+19,-4.1368186499751e+22,8.556650156582713e+44
8.313870389349381e+19,6.101807508713274e+22,1.8616061996915278e+45
-1.2262958824296281e+20,-9.000166075352078e+22,4.0501569882038773e+45
1.8087864265845765e+20,1.3275244961144315e+23,8.811622797461061e+45
-2.667959979213478e+20,-1.9580986317687863e+23,1.917078684872622e+46
3.9352409693417374e+20,2.8881954818589602e+23,4.1708443137759995e+46
-5.8044804297817666e+20,-4.2600883357419674e+23,9.074193160158915e+46
8.561608633932217e+20,6.283630295219404e+23,1.9742041494070753e+47
-1.262837273505582e+21,-9.268354685448623e+23,4.29512790255377e+47
1.8626849784215388e+21,1.367082316103672e+24,9.344587642993545e+47
-2.7474603431729105e+21,-2.0164464162529167e+24,2.0330318490787837e+48
4.052504006181804e+21,2.974258463973053e+24,4.423114916652031e+48
-5.977443409120897e+21,-4.3870312343602535e+24,9.623039390541079e+48
8.816729028457333e+21,6.470871070681377e+24,2.0936125074045957e+49
-1.3004675316980577e+22,-9.544534829255033e+24,4.554915711422126e+49
